1,肖申克的救赎,9.7,1994,美国,犯罪 剧情
2,霸王别姬,9.6,1993,中国大陆 中国香港,剧情 爱情 同性
3,阿甘正传,9.5,1994,美国,剧情 爱情
4,这个杀手不太冷,9.4,1994,法国,剧情 动作 犯罪
5,美丽人生,9.5,1997,意大利,剧情 喜剧 爱情 战争
6,泰坦尼克号,9.4,1997,美国,剧情 爱情 灾难
7,千与千寻,9.3,2001,日本,剧情 动画 奇幻
8,辛德勒的名单,9.5,1993,美国,剧情 历史 战争
9,盗梦空间,9.3,2010,美国 英国,剧情 科幻 悬疑 冒险
10,忠犬八公的故事,9.4,2009,美国 英国,剧情
11,海上钢琴师,9.3,1998,意大利,剧情 音乐
12,机器人总动员,9.3,2008,美国,科幻 动画 冒险
13,三傻大闹宝莱坞,9.2,2009,印度,剧情 喜剧 爱情 歌舞
14,楚门的世界,9.3,1998,美国,剧情 科幻
15,放牛班的春天,9.3,2004,法国 瑞士 德国,剧情 音乐
16,星际穿越,9.3,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险
17,大话西游之大圣娶亲,9.2,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
18,熔炉,9.3,2011,韩国,剧情
19,龙猫,9.2,1988,日本,动画 奇幻 冒险
20,无间道,9.2,2002,中国香港,剧情 犯罪 悬疑
21,疯狂动物城,9.2,2016,美国,喜剧 动画 冒险
22,教父,9.3,1972,美国,剧情 犯罪
23,当幸福来敲门,9.1,2006,美国,剧情 传记 家庭
24,怦然心动,9.0,2010,美国,剧情 喜剧 爱情
25,触不可及,9.2,2011,法国,剧情 喜剧
26,蝙蝠侠：黑暗骑士,9.2,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
27,活着,9.2,1994,中国大陆 中国香港,剧情 历史 家庭
28,控方证人,9.6,1957,美国,剧情 犯罪 悬疑
29,乱世佳人,9.3,1939,美国,剧情 历史 爱情 战争
30,摔跤吧！爸爸,9.0,2016,印度,剧情 传记 运动 家庭
31,少年派的奇幻漂流,9.1,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
32,指环王3：王者无敌,9.2,2003,美国 新西兰,剧情 动作 奇幻 冒险
33,末代皇帝,9.2,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
34,寻梦环游记,9.1,2017,美国,喜剧 动画 奇幻 音乐
35,飞屋环游记,9.0,2009,美国,剧情 喜剧 动画 冒险
36,十二怒汉,9.4,1957,美国,剧情
37,鬼子来了,9.2,2000,中国大陆,剧情 历史 战争
38,天空之城,9.1,1986,日本,动画 奇幻 冒险
39,大话西游之月光宝盒,9.0,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
40,天堂电影院,9.2,1988,意大利 法国,剧情 爱情
41,哈尔的移动城堡,9.0,2004,日本,动画 奇幻 冒险
42,何以为家,9.1,2018,黎巴嫩 法国 美国,剧情
43,罗马假日,9.0,1953,美国,喜剧 剧情 爱情
44,素媛,9.2,2013,韩国,剧情
45,闻香识女人,9.0,1992,美国,剧情
46,搏击俱乐部,9.0,1999,美国 德国,剧情 动作 悬疑 惊悚
47,辩护人,9.2,2013,韩国,剧情
48,窃听风暴,9.1,2006,德国,剧情 悬疑
49,死亡诗社,9.1,1989,美国,剧情
50,教父2,9.2,1974,美国,剧情 犯罪
51,指环王2：双塔奇兵,9.1,2002,美国 新西兰,剧情 动作 奇幻 冒险
52,狮子王,9.0,1994,美国,动画 冒险 歌舞
53,哈利·波特与魔法石,9.0,2001,美国 英国,奇幻 冒险
54,两杆大烟枪,9.1,1998,英国,剧情 喜剧 犯罪
55,飞越疯人院,9.1,1975,美国,剧情
56,指环王1：魔戒再现,9.0,2001,新西兰 美国,剧情 动作 奇幻 冒险
57,大闹天宫,9.3,1961(中国大陆),1964(中国大陆),1978(中国大陆)
58,饮食男女,9.1,1994,中国台湾 美国,剧情 家庭
59,美丽心灵,9.0,2001,美国,传记 剧情
60,V字仇杀队,8.9,2005,美国 英国 德国,剧情 动作 科幻 惊悚
61,我不是药神,9.0,2018,中国大陆,剧情 喜剧
62,黑客帝国,9.0,1999,美国 澳大利亚,动作 科幻
63,钢琴家,9.1,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐
64,本杰明·巴顿奇事,8.9,2008,美国,剧情 爱情 奇幻
65,猫鼠游戏,9.0,2002,美国 加拿大,传记 犯罪 剧情
66,海豚湾,9.3,2009,美国,纪录片
67,让子弹飞,8.8,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
68,看不见的客人,8.8,2016,西班牙,剧情 犯罪 悬疑 惊悚
69,情书,8.9,1995,日本,剧情 爱情
70,西西里的美丽传说,8.9,2000,意大利 美国,剧情 战争 情色
71,小鞋子,9.2,1997,伊朗,剧情 儿童 家庭
72,拯救大兵瑞恩,9.0,1998,美国,剧情 历史 战争
73,美国往事,9.2,1984,美国 意大利,犯罪 剧情
74,音乐之声,9.0,1965,美国,剧情 传记 爱情 歌舞
75,穿条纹睡衣的男孩,9.1,2008,英国 美国,剧情 战争
76,致命魔术,8.9,2006,美国 英国,剧情 悬疑 惊悚
77,七宗罪,8.8,1995,美国,剧情 犯罪 悬疑 惊悚
78,低俗小说,8.8,1994,美国,剧情 喜剧 犯罪
79,被嫌弃的松子的一生,8.9,2006,日本,剧情 歌舞
80,沉默的羔羊,8.8,1991,美国,剧情 犯罪 惊悚
81,蝴蝶效应,8.8,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
